source,target
2,1
3,10
10,5
5,16
16,8
8,4
4,2
6,3
7,22
22,11
11,34
34,17
17,52
52,26
26,13
13,40
40,20
20,10
9,28
28,14
14,7
12,6
15,46
46,23
23,70
70,35
35,106
106,53
53,160
160,80
80,40
18,9
19,58
58,29
29,88
88,44
44,22
21,64
64,32
32,16
24,12
25,76
76,38
38,19
27,82
82,41
41,124
124,62
62,31
31,94
94,47
47,142
142,71
71,214
214,107
107,322
322,161
161,484
484,242
242,121
121,364
364,182
182,91
91,274
274,137
137,412
412,206
206,103
103,310
310,155
155,466
466,233
233,700
700,350
350,175
175,526
526,263
263,790
790,395
395,1186
1186,593
593,1780
1780,890
890,445
445,1336
1336,668
668,334
334,167
167,502
502,251
251,754
754,377
377,1132
1132,566
566,283
283,850
850,425
425,1276
1276,638
638,319
319,958
958,479
479,1438
1438,719
719,2158
2158,1079
1079,3238
3238,1619
1619,4858
4858,2429
2429,7288
7288,3644
3644,1822
1822,911
911,2734
2734,1367
1367,4102
4102,2051
2051,6154
6154,3077
3077,9232
9232,4616
4616,2308
2308,1154
1154,577
577,1732
1732,866
866,433
433,1300
1300,650
650,325
325,976
976,488
488,244
244,122
122,61
61,184
184,92
92,46
30,15
33,100
100,50
50,25
36,18
37,112
112,56
56,28
39,118
118,59
59,178
178,89
89,268
268,134
134,67
67,202
202,101
101,304
304,152
152,76
42,21
43,130
130,65
65,196
196,98
98,49
49,148
148,74
74,37
45,136
136,68
68,34
48,24
51,154
154,77
77,232
232,116
116,58
54,27
55,166
166,83
83,250
250,125
125,376
376,188
188,94
57,172
172,86
86,43
60,30
63,190
190,95
95,286
286,143
143,430
430,215
215,646
646,323
323,970
970,485
485,1456
1456,728
728,364
66,33
69,208
208,104
104,52
72,36
73,220
220,110
110,55
75,226
226,113
113,340
340,170
170,85
85,256
256,128
128,64
78,39
79,238
238,119
119,358
358,179
179,538
538,269
269,808
808,404
404,202
81,244
84,42
87,262
262,131
131,394
394,197
197,592
592,296
296,148
90,45
93,280
280,140
140,70
96,48
97,292
292,146
146,73
99,298
298,149
149,448
448,224
224,112
102,51
105,316
316,158
158,79
108,54
109,328
328,164
164,82
111,334
114,57
115,346
346,173
173,520
520,260
260,130
117,352
352,176
176,88
120,60
123,370
370,185
185,556
556,278
278,139
139,418
418,209
209,628
628,314
314,157
157,472
472,236
236,118
126,63
127,382
382,191
191,574
574,287
287,862
862,431
431,1294
1294,647
647,1942
1942,971
971,2914
2914,1457
1457,4372
4372,2186
2186,1093
1093,3280
3280,1640
1640,820
820,410
410,205
205,616
616,308
308,154
129,388
388,194
194,97
132,66
133,400
400,200
200,100
135,406
406,203
203,610
610,305
305,916
916,458
458,229
229,688
688,344
344,172
138,69
141,424
424,212
212,106
144,72
145,436
436,218
218,109
147,442
442,221
221,664
664,332
332,166
150,75
151,454
454,227
227,682
682,341
341,1024
1024,512
512,256
153,460
460,230
230,115
156,78
159,478
478,239
239,718
718,359
359,1078
1078,539
539,1618
1618,809
809,2428
2428,1214
1214,607
607,1822
162,81
163,490
490,245
245,736
736,368
368,184
165,496
496,248
248,124
168,84
169,508
508,254
254,127
171,514
514,257
257,772
772,386
386,193
193,580
580,290
290,145
174,87
177,532
532,266
266,133
180,90
181,544
544,272
272,136
183,550
550,275
275,826
826,413
413,1240
1240,620
620,310
186,93
187,562
562,281
281,844
844,422
422,211
211,634
634,317
317,952
952,476
476,238
189,568
568,284
284,142
192,96
195,586
586,293
293,880
880,440
440,220
198,99
199,598
598,299
299,898
898,449
449,1348
1348,674
674,337
337,1012
1012,506
506,253
253,760
760,380
380,190
201,604
604,302
302,151
204,102
207,622
622,311
311,934
934,467
467,1402
1402,701
701,2104
2104,1052
1052,526
210,105
213,640
640,320
320,160
216,108
217,652
652,326
326,163
219,658
658,329
329,988
988,494
494,247
247,742
742,371
371,1114
1114,557
557,1672
1672,836
836,418
222,111
223,670
670,335
335,1006
1006,503
503,1510
1510,755
755,2266
2266,1133
1133,3400
3400,1700
1700,850
225,676
676,338
338,169
228,114
231,694
694,347
347,1042
1042,521
521,1564
1564,782
782,391
391,1174
1174,587
587,1762
1762,881
881,2644
2644,1322
1322,661
661,1984
1984,992
992,496
234,117
235,706
706,353
353,1060
1060,530
530,265
265,796
796,398
398,199
237,712
712,356
356,178
240,120
241,724
724,362
362,181
243,730
730,365
365,1096
1096,548
548,274
246,123
249,748
748,374
374,187
